ToolNumber,Description,ToolOffset
1,No Tool,0
2,Probe,38.68
3,1/16" Dia. 2F Fish Tail Upcut (Blue),20.8
4,1/8" Dia. 2F Fish Tail Upcut (Teal),22.05
5,1/8" Dia. 2F Straight (Black),31.96
6,1/8" Dia. 2F Sprial Upcut (Gray),31.85
7,No Tool,0
8,No Tool,0
9,No Tool,0
10,No Tool,0
11,No Tool,0
12,No Tool,0
13,No Tool,0
14,No Tool,0
15,No Tool,0
16,No Tool,0
17,No Tool,0
18,No Tool,0
19,No Tool,0
20,No Tool,0
21,No Tool,0
22,No Tool,0
23,No Tool,0
24,No Tool,0
25,No Tool,0
26,No Tool,0
27,No Tool,0
28,No Tool,0
29,No Tool,0
30,No Tool,0
31,No Tool,0
32,No Tool,0
